,state_location,zip_location,school_counts,enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
6580,MO,64671,1,169.0,37.0,12.0,0.0,30.0,505167.0,505167.03,11127.0
6581,MO,64673,1,198.0,32.0,17.0,0.0,20.0,472368.0,713478.56,329803.0
6582,MO,64674,1,121.0,16.0,14.0,0.0,23.0,784427.0,1495953.75,615941.0
6583,MO,64682,1,66.0,13.0,9.0,0.0,10.0,307076.0,316893.28,116569.0
6584,MO,64683,1,347.0,80.0,27.0,1.0,112.0,1558922.0,1970696.75,50197.0
6585,MO,64689,1,91.0,11.0,11.0,0.0,5.0,335549.0,406803.0,19508.0
6586,MO,64701,1,843.0,211.0,54.0,0.0,117.0,2431563.0,3389342.0,703197.0
6587,MO,64720,1,357.0,51.0,30.0,0.0,61.0,1459720.0,1533783.5,179483.0
6588,MO,64722,1,88.0,11.0,8.0,1.0,7.0,340294.0,555843.69,56567.0
6589,MO,64724,1,195.0,30.0,17.0,0.0,58.0,969819.0,1172305.5,226611.0
6590,MO,64725,1,305.0,55.0,24.0,1.0,15.0,915280.0,1319078.5,120674.0
6591,MO,64728,1,83.0,13.0,8.0,0.0,18.0,246916.0,359395.5,526037.0
6592,MO,64730,2,272.0,44.0,21.0,2.0,46.0,890284.5,1162361.06,202828.5
6593,MO,64733,1,79.0,14.0,9.0,3.0,15.0,369931.0,466011.38,76618.0
6594,MO,64734,1,207.0,41.0,19.0,0.0,39.0,1154080.0,1576712.5,186108.0
6595,MO,64735,1,569.0,150.0,35.0,6.0,2.0,1525028.0,2021270.75,657361.0
6596,MO,64739,1,238.0,59.0,18.0,0.0,41.0,798956.0,937265.25,42225.0
6597,MO,64740,1,184.0,34.0,16.0,1.0,43.0,976775.0,976775.0,61534.0
6598,MO,64742,1,154.0,24.0,16.0,0.0,24.0,503920.0,693720.0,779595.0
6599,MO,64744,1,356.0,95.0,31.0,0.0,0.0,1143501.0,1308118.0,92322.0
6600,MO,64748,1,97.0,9.0,11.0,0.0,9.0,429624.0,547154.5,70081.0
6601,MO,64752,1,66.0,9.0,8.0,0.0,9.0,313844.0,425772.44,212933.0
6602,MO,64755,1,207.0,31.0,17.0,0.0,19.0,640652.0,827006.94,30466.0
6603,MO,64759,1,407.0,100.0,28.0,3.0,19.0,1164536.0,1164536.0,405935.0
6604,MO,64761,1,109.0,26.0,12.0,0.0,59.0,455885.0,1059603.0,56579.0
6605,MO,64762,1,149.0,42.0,12.0,0.0,76.0,425152.0,576732.44,168736.0
6606,MO,64770,1,40.0,9.0,5.0,0.0,11.0,173674.0,250385.88,2035.0
6607,MO,64772,1,720.0,167.0,44.0,0.0,120.0,1869460.0,2260616.5,986173.0
6608,MO,64776,1,237.0,40.0,16.0,0.0,36.0,670545.0,670545.5,434874.0
6609,MO,64779,2,86.0,16.0,10.0,0.0,20.0,372501.5,372501.5,49763.5
6610,MO,64784,1,79.0,11.0,10.0,0.0,10.0,342436.0,428616.16,314492.0
6611,MO,64790,1,114.0,28.0,11.0,0.0,28.0,360464.0,677502.0,162779.0
6612,MO,64802,1,2189.0,544.0,114.0,22.0,28.0,4431165.0,5641462.5,1283681.0
6613,MO,64804,1,9.0,0.0,2.0,0.0,0.0,88176.0,88176.0,11200.0
6614,MO,64831,1,1119.0,282.0,71.0,0.0,203.0,3252988.0,3720222.75,336836.0
6615,MO,64834,1,963.0,227.0,63.0,2.0,106.0,2430200.0,3113539.0,981986.0
6616,MO,64836,1,1467.0,342.0,80.0,5.0,273.0,3458875.0,3887260.5,675813.0
6617,MO,64840,1,238.0,55.0,23.0,1.0,41.0,1456417.0,1520582.0,202561.0
6618,MO,64844,1,415.0,95.0,34.0,0.0,73.0,1744004.0,2407975.0,567203.0
6619,MO,64850,1,1304.0,299.0,76.0,5.0,186.0,3459709.0,4558406.5,1935543.0
6620,MO,64862,1,435.0,50.0,32.0,0.0,28.0,1523524.0,2387236.0,837518.0
6621,MO,64865,1,449.0,100.0,32.0,0.0,119.0,1098602.0,1915202.12,112462.0
6622,MO,64870,1,1242.0,294.0,77.0,4.0,275.0,3419129.0,4236998.5,924896.0
6623,MO,64874,1,144.0,0.0,14.0,0.0,38.0,734921.0,941846.0,285981.0
6624,MO,65010,1,487.0,112.0,34.0,2.0,115.0,1535800.0,1944058.38,126670.0
6625,MO,65013,1,177.0,52.0,22.0,0.0,65.0,821851.0,940581.56,74787.0
6626,MO,65018,1,446.0,95.0,33.0,0.0,139.0,1631629.0,2306953.5,319049.0
6627,MO,65020,1,1332.0,321.0,84.0,2.0,363.0,4926216.0,6075872.0,2031497.0
6628,MO,65024,1,79.0,10.0,11.0,0.0,25.0,436811.0,602336.0,263803.0
6629,MO,65026,1,552.0,143.0,36.0,0.0,169.0,1922385.0,2791077.0,140000.0
